example_id,caption,wav,split,image_id,target
1075867198_27ca2e7efe.jpg#0,A man in a brown shirt and dark shorts plays on the beach with his two black dogs .,1075867198_27ca2e7efe_0.wav,train,1075867198_27ca2e7efe.jpg,"['shirt', 'man', 'beach']"
1075881101_d55c46bece.jpg#0,a boy cleans the bubbles off his face .,1075881101_d55c46bece_0.wav,train,1075881101_d55c46bece.jpg,"['face', 'boy']"
1079274291_9aaf896cc1.jpg#0,A little boy sticks his tongue out for the camera . Another boy looks on .,1079274291_9aaf896cc1_0.wav,train,1079274291_9aaf896cc1.jpg,"['boy', 'camera']"
10815824_2997e03d76.jpg#0,A blonde horse and a blonde girl in a black sweatshirt are staring at a fire in a barrel .,10815824_2997e03d76_0.wav,train,10815824_2997e03d76.jpg,"['blonde', 'fire', 'girl', 'horse']"
1082252566_8c79beef93.jpg#0,"A bulldog , a sheep dog , and a boxer standing in a yard .",1082252566_8c79beef93_0.wav,train,1082252566_8c79beef93.jpg,"['dog', 'boxer', 'standing']"
1084104085_3b06223afe.jpg#0,a woman in a yellow shirt and green shorts is climbing an artificial red wall whilst wearing a safety harness .,1084104085_3b06223afe_0.wav,train,1084104085_3b06223afe.jpg,"['whilst', 'shirt', 'wall', 'safety', 'woman']"
1087168168_70280d024a.jpg#0,A boy is jumping on an inflatable ring and a girl is watching him,1087168168_70280d024a_0.wav,train,1087168168_70280d024a.jpg,"['girl', 'boy', 'ring']"
108898978_7713be88fc.jpg#0,Skiiers walking up the hill through a forest .,108898978_7713be88fc_0.wav,train,108898978_7713be88fc.jpg,['hill']
108899015_bf36131a57.jpg#0,A lone skier is making their way up a mountain .,108899015_bf36131a57_0.wav,train,108899015_bf36131a57.jpg,"['mountain', 'lone']"
1089181217_ee1167f7af.jpg#0,a brown dog running down a paved pathway,1089181217_ee1167f7af_0.wav,train,1089181217_ee1167f7af.jpg,['dog']
109202756_b97fcdc62c.jpg#0,A woman dressed in a blue jacket and blue jeans rides a brown horse near a frozen lake and snow-covered mountain .,109202756_b97fcdc62c_0.wav,train,109202756_b97fcdc62c.jpg,"['jacket', 'blue', 'lake', 'woman', 'horse', 'mountain']"
109202801_c6381eef15.jpg#0,Two draft horses pull a cart through the snow .,109202801_c6381eef15_0.wav,train,109202801_c6381eef15.jpg,['snow']
109260216_85b0be5378.jpg#0,A person climbing down a sheer rock cliff using a rope,109260216_85b0be5378_0.wav,train,109260216_85b0be5378.jpg,"['person', 'rope', 'cliff', 'rock']"
109260218_fca831f933.jpg#0,People stand inside a rock dome .,109260218_fca831f933_0.wav,train,109260218_fca831f933.jpg,['rock']
1093716555_801aacef79.jpg#0,a group of backpackers lay on the dry ground .,1093716555_801aacef79_0.wav,train,1093716555_801aacef79.jpg,"['ground', 'group']"
1093737381_b313cd49ff.jpg#0,A woman in a blue dress stands with a chalk portrait of two children playing by a stream .,1093737381_b313cd49ff_0.wav,train,1093737381_b313cd49ff.jpg,"['dress', 'woman', 'stream']"
1094462889_f9966dafa6.jpg#0,A brown dog plays in a deep pile of snow .,1094462889_f9966dafa6_0.wav,train,1094462889_f9966dafa6.jpg,"['pile', 'snow', 'dog']"
1095476286_87d4f8664e.jpg#0,A boy jumping in a fountain .,1095476286_87d4f8664e_0.wav,train,1095476286_87d4f8664e.jpg,"['jumping', 'fountain', 'boy']"
1095580424_76f0aa8a3e.jpg#1,A dog runs out of a tunnel on a course .,1095580424_76f0aa8a3e_1.wav,train,1095580424_76f0aa8a3e.jpg,['dog']
1095590286_c654f7e5a9.jpg#0,A blond dog and a black and white dog run in a dirt field .,1095590286_c654f7e5a9_0.wav,train,1095590286_c654f7e5a9.jpg,"['dirt', 'field', 'dog', 'blond']"
1095980313_3c94799968.jpg#0,A little girl in a blue swimsuit is walking along a wooden fence next to a sandy beach .,1095980313_3c94799968_0.wav,train,1095980313_3c94799968.jpg,"['beach', 'girl', 'fence']"
1096097967_ac305887b4.jpg#0,A black and white dog drinking water from a water spray .,1096097967_ac305887b4_0.wav,train,1096097967_ac305887b4.jpg,"['water', 'dog']"
1096165011_cc5eb16aa6.jpg#0,a boy smiles underwater .,1096165011_cc5eb16aa6_0.wav,train,1096165011_cc5eb16aa6.jpg,['boy']
109671650_f7bbc297fa.jpg#0,A boy in yellow shorts is standing on top of a cliff .,109671650_f7bbc297fa_0.wav,train,109671650_f7bbc297fa.jpg,"['top', 'cliff', 'boy']"
109738763_90541ef30d.jpg#0,A person on a snowmobile in mid jump .,109738763_90541ef30d_0.wav,train,109738763_90541ef30d.jpg,['person']
109738916_236dc456ac.jpg#2,Several people are taking a break while on a snowmobiling ride .,109738916_236dc456ac_2.wav,train,109738916_236dc456ac.jpg,['ride']
109823394_83fcb735e1.jpg#1,Three people on ATVs in a brown field turn their heads to look at the camera .,109823394_83fcb735e1_1.wav,train,109823394_83fcb735e1.jpg,"['camera', 'field']"
109823395_6fb423a90f.jpg#0,A four wheeler jumping in an empty field .,109823395_6fb423a90f_0.wav,train,109823395_6fb423a90f.jpg,"['jumping', 'field']"
109823397_e35154645f.jpg#0,A man jumps gin the air while riding an ATV,109823397_e35154645f_0.wav,train,109823397_e35154645f.jpg,"['air', 'man']"
1104133405_c04a00707f.jpg#0,A boy carrying a soccer ball .,1104133405_c04a00707f_0.wav,train,1104133405_c04a00707f.jpg,"['ball', 'soccer', 'boy']"
1105959054_9c3a738096.jpg#0,A child painting a picture .,1105959054_9c3a738096_0.wav,train,1105959054_9c3a738096.jpg,"['picture', 'child']"
110595925_f3395c8bd6.jpg#0,A cyclist is riding a bicycle on a curved road up a hill .,110595925_f3395c8bd6_0.wav,train,110595925_f3395c8bd6.jpg,"['hill', 'road', 'bicycle']"
1107471216_4336c9b328.jpg#0,A little girl is holding a cine camera in front of her face .,1107471216_4336c9b328_0.wav,train,1107471216_4336c9b328.jpg,"['face', 'front', 'girl', 'camera']"
1110208841_5bb6806afe.jpg#0,A black and white Border Collie catches a Frisbee in front of an audience .,1110208841_5bb6806afe_0.wav,train,1110208841_5bb6806afe.jpg,"['front', 'frisbee']"
1112212364_0c48235fc2.jpg#0,A baby is sitting on and playing with smooth rocks .,1112212364_0c48235fc2_0.wav,train,1112212364_0c48235fc2.jpg,['baby']
111537217_082a4ba060.jpg#0,A man climbing a rock wall,111537217_082a4ba060_0.wav,train,111537217_082a4ba060.jpg,"['wall', 'man', 'rock']"
111537222_07e56d5a30.jpg#0,A climber wearing a blue helmet and headlamp is attached to a rope on the rock face .,111537222_07e56d5a30_0.wav,train,111537222_07e56d5a30.jpg,"['face', 'helmet', 'rope', 'climber', 'rock']"
1115565519_d976d4b1f1.jpg#0,A child playing with a fountain at the beach .,1115565519_d976d4b1f1_0.wav,train,1115565519_d976d4b1f1.jpg,"['beach', 'fountain', 'child']"
1115679311_245eff2f4b.jpg#0,A black dog is jumping over a log along a beach .,1115679311_245eff2f4b_0.wav,train,1115679311_245eff2f4b.jpg,"['dog', 'beach']"
111766423_4522d36e56.jpg#0,A black and white bird eating seeds out of someone 's hand,111766423_4522d36e56_0.wav,train,111766423_4522d36e56.jpg,['hand']
1117972841_2b9261f95f.jpg#0,A brown dog is running in the sand .,1117972841_2b9261f95f_0.wav,train,1117972841_2b9261f95f.jpg,"['sand', 'dog']"
1118557877_736f339752.jpg#0,A little boy stands in the surf .,1118557877_736f339752_0.wav,train,1118557877_736f339752.jpg,['boy']
1119418776_58e4b93eac.jpg#0,A black and white dog is running through the field .,1119418776_58e4b93eac_0.wav,train,1119418776_58e4b93eac.jpg,"['dog', 'field']"
1119463452_69d4eecd08.jpg#0,A girl in a pink swimsuit in a pool,1119463452_69d4eecd08_0.wav,train,1119463452_69d4eecd08.jpg,"['pool', 'girl', 'pink']"
1121416483_c7902d0d49.jpg#0,A child is standing on her head .,1121416483_c7902d0d49_0.wav,train,1121416483_c7902d0d49.jpg,"['head', 'child']"
112178718_87270d9b4d.jpg#0,A guy stands in the sand with a snowboard behind him .,112178718_87270d9b4d_0.wav,train,112178718_87270d9b4d.jpg,"['guy', 'sand', 'snowboard']"
112243673_fd68255217.jpg#0,People on ATVs and dirt bikes are traveling along a worn path in a field surrounded by trees .,112243673_fd68255217_0.wav,train,112243673_fd68255217.jpg,"['dirt', 'path', 'field']"
1124448967_2221af8dc5.jpg#0,A half naked man is sleeping on his chair outdoors .,1124448967_2221af8dc5_0.wav,train,1124448967_2221af8dc5.jpg,"['chair', 'man']"
1129704496_4a61441f2c.jpg#0,A brown and white and a black and white dog hauling in a floating toy from the ocean .,1129704496_4a61441f2c_0.wav,train,1129704496_4a61441f2c.jpg,"['toy', 'dog', 'ocean', 'brown']"
1130017585_1a219257ac.jpg#0,"There are three young people , one dark haired holding a bottled drink , one with head tilted back and finger in her mouth , and one with spiked hair .",1130017585_1a219257ac_0.wav,train,1130017585_1a219257ac.jpg,"['head', 'mouth']"
1130401779_8c30182e3e.jpg#0,Two brown dogs are creating large splashes as they run in a river .,1130401779_8c30182e3e_0.wav,train,1130401779_8c30182e3e.jpg,['river']
1131340021_83f46b150a.jpg#0,A young boy runs while wearing sandals .,1131340021_83f46b150a_0.wav,train,1131340021_83f46b150a.jpg,['boy']
1131804997_177c3c0640.jpg#0,Two men are sitting on the ground and going through their backpacks .,1131804997_177c3c0640_0.wav,train,1131804997_177c3c0640.jpg,['ground']
1132772170_600610c5df.jpg#0,A child leaping from bed to bed behind the back of a man .,1132772170_600610c5df_0.wav,train,1132772170_600610c5df.jpg,"['man', 'back', 'child']"
1141718391_24164bf1b1.jpg#0,"A bridge through high green plants , a man and a woman on it .",1141718391_24164bf1b1_0.wav,train,1141718391_24164bf1b1.jpg,"['woman', 'bridge', 'man']"
1141739219_2c47195e4c.jpg#0,A family gathered at a painted van,1141739219_2c47195e4c_0.wav,train,1141739219_2c47195e4c.jpg,['family']
1142283988_6b227c5231.jpg#0,A blond woman poses with a person in a pink costume .,1142283988_6b227c5231_0.wav,train,1142283988_6b227c5231.jpg,"['costume', 'blond', 'woman', 'pink', 'person']"
1142847777_2a0c1c2551.jpg#0,A bicyclist riding on a city street .,1142847777_2a0c1c2551_0.wav,train,1142847777_2a0c1c2551.jpg,"['city', 'street']"
1143373711_2e90b7b799.jpg#0,A bicycle rider is crossing a street .,1143373711_2e90b7b799_0.wav,train,1143373711_2e90b7b799.jpg,"['bicycle', 'street']"
1143882946_1898d2eeb9.jpg#0,A lady wearing a helmet holding a bike .,1143882946_1898d2eeb9_0.wav,train,1143882946_1898d2eeb9.jpg,"['helmet', 'bike', 'lady']"
1144288288_e5c9558b6a.jpg#0,A man in shorts is jogging along a street with a headset .,1144288288_e5c9558b6a_0.wav,train,1144288288_e5c9558b6a.jpg,"['man', 'street']"
1148238960_f8cacec2fc.jpg#4,three bikers stop in town .,1148238960_f8cacec2fc_4.wav,train,1148238960_f8cacec2fc.jpg,['town']
1149179852_acad4d7300.jpg#0,A man without a shirt on is guiding a large brown horse pulling a green and yellow wagon .,1149179852_acad4d7300_0.wav,train,1149179852_acad4d7300.jpg,"['shirt', 'man', 'horse']"
114949897_490ca7eaec.jpg#0,A boy hits a ball off of a tee ball into to net .,114949897_490ca7eaec_0.wav,train,114949897_490ca7eaec.jpg,"['ball', 'boy']"
1151466868_3bc4d9580b.jpg#0,A small girl spins in the waves in the bright sun .,1151466868_3bc4d9580b_0.wav,train,1151466868_3bc4d9580b.jpg,['girl']
1153704539_542f7aa3a5.jpg#0,A girl playing trumpet in a marching band .,1153704539_542f7aa3a5_0.wav,train,1153704539_542f7aa3a5.jpg,"['band', 'playing']"
1155138244_859fd6e079.jpg#0,A girl hands out Starbucks samples at a street fair .,1155138244_859fd6e079_0.wav,train,1155138244_859fd6e079.jpg,"['girl', 'street']"
1159574340_99ba8c3c59.jpg#0,A child jumping into a lake in a wooded area while another child plays on the shore .,1159574340_99ba8c3c59_0.wav,train,1159574340_99ba8c3c59.jpg,"['area', 'lake', 'child']"
1160034462_16b38174fe.jpg#0,A elderly man in a straw hat is sitting on a bench .,1160034462_16b38174fe_0.wav,train,1160034462_16b38174fe.jpg,"['man', 'bench', 'hat']"
1160441615_fe6b3c5277.jpg#0,Three girls are walking across a bridge covered with wood and surrounded by trees .,1160441615_fe6b3c5277_0.wav,train,1160441615_fe6b3c5277.jpg,['bridge']
1163282319_b729b24c46.jpg#0,"A girl dressed in a red top , a red cap , and light colored shorts , sits on a rock outside .",1163282319_b729b24c46_0.wav,train,1163282319_b729b24c46.jpg,"['cap', 'top', 'girl', 'rock']"
116409198_0fe0c94f3b.jpg#0,A man eats near a tent in the snow .,116409198_0fe0c94f3b_0.wav,train,116409198_0fe0c94f3b.jpg,"['snow', 'man']"
1164765687_7aca07bbe7.jpg#0,A man in a red shirt and glasses is bending down towards a small dog on a blanket with several stuffed animals .,1164765687_7aca07bbe7_0.wav,train,1164765687_7aca07bbe7.jpg,"['blanket', 'shirt', 'man', 'dog']"
1167662968_e466f1e80a.jpg#0,A guy with a nose piercing .,1167662968_e466f1e80a_0.wav,train,1167662968_e466f1e80a.jpg,['guy']
1167908324_8caab45e15.jpg#0,A man is standing by a group of video games in a bar .,1167908324_8caab45e15_0.wav,train,1167908324_8caab45e15.jpg,"['man', 'group']"
1169307342_e7a4685a5c.jpg#0,A big brown dog plays with a smaller grey dog on the grass .,1169307342_e7a4685a5c_0.wav,train,1169307342_e7a4685a5c.jpg,"['grass', 'grey', 'brown', 'dog']"
1176580356_9810d877bf.jpg#0,A big dog catches a ball on his nose,1176580356_9810d877bf_0.wav,train,1176580356_9810d877bf.jpg,"['ball', 'dog']"
118187095_d422383c81.jpg#0,Parents are pushing little children in red car carts .,118187095_d422383c81_0.wav,train,118187095_d422383c81.jpg,['car']
118309463_a532b75be9.jpg#0,A boys baseball team wear their uniforms .,118309463_a532b75be9_0.wav,train,118309463_a532b75be9.jpg,['baseball']
1184967930_9e29ce380d.jpg#0,A brown dog running through the grass and flowers .,1184967930_9e29ce380d_0.wav,train,1184967930_9e29ce380d.jpg,"['grass', 'dog']"
1187435567_18173c148b.jpg#0,A small brown and black dog,1187435567_18173c148b_0.wav,train,1187435567_18173c148b.jpg,"['brown', 'dog']"
1187593464_ce862352c6.jpg#0,A big tan dog runs on grass with a big stick in his mouth .,1187593464_ce862352c6_0.wav,train,1187593464_ce862352c6.jpg,"['tan', 'dog', 'mouth', 'stick', 'grass']"
1189977786_4f5aaed773.jpg#0,A dog jumping into a swimming pool .,1189977786_4f5aaed773_0.wav,train,1189977786_4f5aaed773.jpg,"['pool', 'dog']"
1191338263_a4fa073154.jpg#0,A little old lady sitting next to an advertisement .,1191338263_a4fa073154_0.wav,train,1191338263_a4fa073154.jpg,['lady']
1193116658_c0161c35b5.jpg#0,A girl rides a unicycle as another rides a scooter next to her .,1193116658_c0161c35b5_0.wav,train,1193116658_c0161c35b5.jpg,['girl']
119534510_d52b3781a3.jpg#0,A man in a brown shirt sitting on a dock and reading .,119534510_d52b3781a3_0.wav,train,119534510_d52b3781a3.jpg,"['shirt', 'man', 'dock']"
1197800988_7fb0ca4888.jpg#0,a person sits at a table behind a tree .,1197800988_7fb0ca4888_0.wav,train,1197800988_7fb0ca4888.jpg,"['tree', 'person', 'table']"
1198194316_543cc7b945.jpg#0,a couple walking along on a sidewalk,1198194316_543cc7b945_0.wav,train,1198194316_543cc7b945.jpg,"['sidewalk', 'couple']"
1204996216_71d7519d9a.jpg#0,A boy lays on a picnic table bench .,1204996216_71d7519d9a_0.wav,train,1204996216_71d7519d9a.jpg,"['boy', 'bench', 'table']"
1206506157_c7956accd5.jpg#0,Dogs fight in grass over toy .,1206506157_c7956accd5_0.wav,train,1206506157_c7956accd5.jpg,"['grass', 'toy']"
1207159468_425b902bfb.jpg#0,A boy and a person suspended above a dome structure .,1207159468_425b902bfb_0.wav,train,1207159468_425b902bfb.jpg,"['structure', 'boy', 'person']"
1211015912_9f3ee3a995.jpg#0,A girl in a brown dress surrounded by children closes her eyes .,1211015912_9f3ee3a995_0.wav,train,1211015912_9f3ee3a995.jpg,"['girl', 'dress']"
1213336750_2269b51397.jpg#0,A man in a black jacket is taking a photo of a man in a red jacket .,1213336750_2269b51397_0.wav,train,1213336750_2269b51397.jpg,"['photo', 'man', 'jacket']"
121800200_bef08fae5f.jpg#0,A group of climbers begin up a sheer rock face .,121800200_bef08fae5f_0.wav,train,121800200_bef08fae5f.jpg,"['face', 'rock', 'group']"
121971540_0a986ee176.jpg#1,Two men climb the side of a boat .,121971540_0a986ee176_1.wav,train,121971540_0a986ee176.jpg,"['boat', 'side']"
1222322358_225067636e.jpg#0,A boy in a red and white shirt is on a swing .,1222322358_225067636e_0.wav,train,1222322358_225067636e.jpg,"['swing', 'shirt', 'boy']"
1225443522_1633e7121f.jpg#0,A girl walking alone at night on a street .,1225443522_1633e7121f_0.wav,train,1225443522_1633e7121f.jpg,"['night', 'street']"
1227655020_b11a1bb112.jpg#0,A black dog and a brown dog playing in tall weeds .,1227655020_b11a1bb112_0.wav,train,1227655020_b11a1bb112.jpg,"['playing', 'dog']"
1229756013_94663527d7.jpg#0,A brown dog jumping in the air on a brown plain .,1229756013_94663527d7_0.wav,train,1229756013_94663527d7.jpg,"['air', 'jumping', 'dog']"
1231229740_8dcbf80bfb.jpg#0,A child in gray clothes is sleeping on a red cushion .,1231229740_8dcbf80bfb_0.wav,train,1231229740_8dcbf80bfb.jpg,['child']
1234293791_6566284bcd.jpg#0,A girl in a helmet rides a horse .,1234293791_6566284bcd_0.wav,train,1234293791_6566284bcd.jpg,"['helmet', 'girl', 'horse']"
1234817607_924893f6e1.jpg#0,a Korean man sells soda .,1234817607_924893f6e1_0.wav,train,1234817607_924893f6e1.jpg,['man']
1235580648_7eebaed9bc.jpg#0,The hatted males pose for a picture .,1235580648_7eebaed9bc_0.wav,train,1235580648_7eebaed9bc.jpg,['picture']
1235681222_819231767a.jpg#0,A person in a blue shirt sits behind two people sitting on a wood bench .,1235681222_819231767a_0.wav,train,1235681222_819231767a.jpg,"['bench', 'shirt', 'person']"
1235685934_be89b231fb.jpg#0,A man in sunglasses on an overpass .,1235685934_be89b231fb_0.wav,train,1235685934_be89b231fb.jpg,['man']
1236951314_0308dc4138.jpg#0,A boy in a wetsuit jumps into a pool with a bald man .,1236951314_0308dc4138_0.wav,train,1236951314_0308dc4138.jpg,"['boy', 'bald', 'wetsuit', 'pool', 'man']"
1236964638_1808784a3c.jpg#0,A boy flips off a diving board into a pool .,1236964638_1808784a3c_0.wav,train,1236964638_1808784a3c.jpg,['pool']
123889082_d3751e0350.jpg#0,A brown dog biting a gray dogs ear .,123889082_d3751e0350_0.wav,train,123889082_d3751e0350.jpg,['dog']
1240297429_c36ae0c58f.jpg#0,A dog in a number six jersey is running through a field .,1240297429_c36ae0c58f_0.wav,train,1240297429_c36ae0c58f.jpg,"['dog', 'field']"
124195430_d14028660f.jpg#0,A brown horse and a black foal on the beach,124195430_d14028660f_0.wav,train,124195430_d14028660f.jpg,"['beach', 'horse']"
1244140539_da4804d828.jpg#0,A black and brown dog is laying on a white shaggy carpet .,1244140539_da4804d828_0.wav,train,1244140539_da4804d828.jpg,"['carpet', 'dog']"
1244306891_8e78ae1620.jpg#0,smiling girls in bathing suits sitting on the sand,1244306891_8e78ae1620_0.wav,train,1244306891_8e78ae1620.jpg,['sand']
1244485675_822e6efe60.jpg#0,A boy in a grey and white shirt looking at his reflection .,1244485675_822e6efe60_0.wav,train,1244485675_822e6efe60.jpg,"['grey', 'shirt', 'boy']"
